"","affairs","gender","age","yearsmarried","children","religiousness","education","occupation","rating","aff_yes_no"
"4",0,"male",37,10,"no",3,18,7,4,"No"
"5",0,"female",27,4,"no",4,14,6,4,"No"
"11",0,"female",32,15,"yes",1,12,1,4,"No"
"16",0,"male",57,15,"yes",5,18,6,5,"No"
"23",0,"male",22,0.75,"no",2,17,6,3,"No"
"29",0,"female",32,1.5,"no",2,17,5,5,"No"
"44",0,"female",22,0.75,"no",2,12,1,3,"No"
"45",0,"male",57,15,"yes",2,14,4,4,"No"
"47",0,"female",32,15,"yes",4,16,1,2,"No"
"49",0,"male",22,1.5,"no",4,14,4,5,"No"
"50",0,"male",37,15,"yes",2,20,7,2,"No"
"55",0,"male",27,4,"yes",4,18,6,4,"No"
"64",0,"male",47,15,"yes",5,17,6,4,"No"
"80",0,"female",22,1.5,"no",2,17,5,4,"No"
"86",0,"female",27,4,"no",4,14,5,4,"No"
"93",0,"female",37,15,"yes",1,17,5,5,"No"
"108",0,"female",37,15,"yes",2,18,4,3,"No"
"114",0,"female",22,0.75,"no",3,16,5,4,"No"
"115",0,"female",22,1.5,"no",2,16,5,5,"No"
"116",0,"female",27,10,"yes",2,14,1,5,"No"
"123",0,"female",22,1.5,"no",2,16,5,5,"No"
"127",0,"female",22,1.5,"no",2,16,5,5,"No"
"129",0,"female",27,10,"yes",4,16,5,4,"No"
"134",0,"female",32,10,"yes",3,14,1,5,"No"
"137",0,"male",37,4,"yes",2,20,6,4,"No"
"139",0,"female",22,1.5,"no",2,18,5,5,"No"
"147",0,"female",27,7,"no",4,16,1,5,"No"
"151",0,"male",42,15,"yes",5,20,6,4,"No"
"153",0,"male",27,4,"yes",3,16,5,5,"No"
"155",0,"female",27,4,"yes",3,17,5,4,"No"
"162",0,"male",42,15,"yes",4,20,6,3,"No"
"163",0,"female",22,1.5,"no",3,16,5,5,"No"
"165",0,"male",27,0.417,"no",4,17,6,4,"No"
"168",0,"female",42,15,"yes",5,14,5,4,"No"
"170",0,"male",32,4,"yes",1,18,6,4,"No"
"172",0,"female",22,1.5,"no",4,16,5,3,"No"
"184",0,"female",42,15,"yes",3,12,1,4,"No"
"187",0,"female",22,4,"no",4,17,5,5,"No"
"192",0,"male",22,1.5,"yes",1,14,3,5,"No"
"194",0,"female",22,0.75,"no",3,16,1,5,"No"
"210",0,"male",32,10,"yes",5,20,6,5,"No"
"217",0,"male",52,15,"yes",5,18,6,3,"No"
"220",0,"female",22,0.417,"no",5,14,1,4,"No"
"224",0,"female",27,4,"yes",2,18,6,1,"No"
"227",0,"female",32,7,"yes",5,17,5,3,"No"
"228",0,"male",22,4,"no",3,16,5,5,"No"
"239",0,"female",27,7,"yes",4,18,6,5,"No"
"241",0,"female",42,15,"yes",2,18,5,4,"No"
"245",0,"male",27,1.5,"yes",4,16,3,5,"No"
"249",0,"male",42,15,"yes",2,20,6,4,"No"
"262",0,"female",22,0.75,"no",5,14,3,5,"No"
"265",0,"male",32,7,"yes",2,20,6,4,"No"
"267",0,"male",27,4,"yes",5,20,6,5,"No"
"269",0,"male",27,10,"yes",4,20,6,4,"No"
"271",0,"male",22,4,"no",1,18,5,5,"No"
"277",0,"female",37,15,"yes",4,14,3,1,"No"
"290",0,"male",22,1.5,"yes",5,16,4,4,"No"
"292",0,"female",37,15,"yes",4,17,1,5,"No"
"293",0,"female",27,0.75,"no",4,17,5,4,"No"
"295",0,"male",32,10,"yes",4,20,6,4,"No"
"299",0,"female",47,15,"yes",5,14,7,2,"No"
"320",0,"male",37,10,"yes",3,20,6,4,"No"
"321",0,"female",22,0.75,"no",2,16,5,5,"No"
"324",0,"male",27,4,"no",2,18,4,5,"No"
"334",0,"male",32,7,"no",4,20,6,4,"No"
"351",0,"male",42,15,"yes",2,17,3,5,"No"
"355",0,"male",37,10,"yes",4,20,6,4,"No"
"361",0,"female",47,15,"yes",3,17,6,5,"No"
"362",0,"female",22,1.5,"no",5,16,5,5,"No"
"366",0,"female",27,1.5,"no",2,16,6,4,"No"
"370",0,"female",27,4,"no",3,17,5,5,"No"
"374",0,"female",32,10,"yes",5,14,4,5,"No"
"378",0,"female",22,0.125,"no",2,12,5,5,"No"
"381",0,"male",47,15,"yes",4,14,4,3,"No"
"382",0,"male",32,15,"yes",1,14,5,5,"No"
"383",0,"male",27,7,"yes",4,16,5,5,"No"
"384",0,"female",22,1.5,"yes",3,16,5,5,"No"
"400",0,"male",27,4,"yes",3,17,6,5,"No"
"403",0,"female",22,1.5,"no",3,16,5,5,"No"
"409",0,"male",57,15,"yes",2,14,7,2,"No"
