Years_only,Month_series,milk_prod,Month_^2,milk_prod_log,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12
1962,1,589,1,2.770115295,1,0,0,0,0,0,0,0,0,0,0,0
1962,2,561,4,2.748962861,0,1,0,0,0,0,0,0,0,0,0,0
1962,3,640,9,2.806179974,0,0,1,0,0,0,0,0,0,0,0,0
1962,4,656,16,2.816903839,0,0,0,1,0,0,0,0,0,0,0,0
1962,5,727,25,2.861534411,0,0,0,0,1,0,0,0,0,0,0,0
1962,6,697,36,2.843232778,0,0,0,0,0,1,0,0,0,0,0,0
1962,7,640,49,2.806179974,0,0,0,0,0,0,1,0,0,0,0,0
1962,8,599,64,2.777426822,0,0,0,0,0,0,0,1,0,0,0,0
1962,9,568,81,2.754348336,0,0,0,0,0,0,0,0,1,0,0,0
1962,10,577,100,2.761175813,0,0,0,0,0,0,0,0,0,1,0,0
1962,11,553,121,2.742725131,0,0,0,0,0,0,0,0,0,0,1,
1962,12,582,144,2.764922985,0,0,0,0,0,0,0,0,0,0,0,1
1963,1,600,1,2.77815125,1,0,0,0,0,0,0,0,0,0,0,0
1963,2,566,4,2.752816431,0,1,0,0,0,0,0,0,0,0,0,0
1963,3,653,9,2.814913181,0,0,1,0,0,0,0,0,0,0,0,0
1963,4,673,16,2.828015064,0,0,0,1,0,0,0,0,0,0,0,0
1963,5,742,25,2.870403905,0,0,0,0,1,0,0,0,0,0,0,0
1963,6,716,36,2.854913022,0,0,0,0,0,1,0,0,0,0,0,0
1963,7,660,49,2.819543936,0,0,0,0,0,0,1,0,0,0,0,0
1963,8,617,64,2.790285164,0,0,0,0,0,0,0,1,0,0,0,0
1963,9,583,81,2.765668555,0,0,0,0,0,0,0,0,1,0,0,0
1963,10,587,100,2.768638101,0,0,0,0,0,0,0,0,0,1,0,0
1963,11,565,121,2.752048448,0,0,0,0,0,0,0,0,0,0,1,
1963,12,598,144,2.776701184,0,0,0,0,0,0,0,0,0,0,0,1
1964,1,628,1,2.797959644,1,0,0,0,0,0,0,0,0,0,0,0
1964,2,618,4,2.790988475,0,1,0,0,0,0,0,0,0,0,0,0
1964,3,688,9,2.837588438,0,0,1,0,0,0,0,0,0,0,0,0
1964,4,705,16,2.848189117,0,0,0,1,0,0,0,0,0,0,0,0
