Month_series,milk_prod,Month_^2,milk_prod_log,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12
1,589,1,2.770115295,1,0,0,0,0,0,0,0,0,0,0,0
2,561,4,2.748962861,0,1,0,0,0,0,0,0,0,0,0,0
3,640,9,2.806179974,0,0,1,0,0,0,0,0,0,0,0,0
4,656,16,2.816903839,0,0,0,1,0,0,0,0,0,0,0,0
5,727,25,2.861534411,0,0,0,0,1,0,0,0,0,0,0,0
6,697,36,2.843232778,0,0,0,0,0,1,0,0,0,0,0,0
7,640,49,2.806179974,0,0,0,0,0,0,1,0,0,0,0,0
8,599,64,2.777426822,0,0,0,0,0,0,0,1,0,0,0,0
9,568,81,2.754348336,0,0,0,0,0,0,0,0,1,0,0,0
10,577,100,2.761175813,0,0,0,0,0,0,0,0,0,1,0,0
11,553,121,2.742725131,0,0,0,0,0,0,0,0,0,0,1,0
12,582,144,2.764922985,0,0,0,0,0,0,0,0,0,0,0,1
13,600,169,2.77815125,1,0,0,0,0,0,0,0,0,0,0,0
14,566,196,2.752816431,0,1,0,0,0,0,0,0,0,0,0,0
15,653,225,2.814913181,0,0,1,0,0,0,0,0,0,0,0,0
16,673,256,2.828015064,0,0,0,1,0,0,0,0,0,0,0,0
17,742,289,2.870403905,0,0,0,0,1,0,0,0,0,0,0,0
18,716,324,2.854913022,0,0,0,0,0,1,0,0,0,0,0,0
19,660,361,2.819543936,0,0,0,0,0,0,1,0,0,0,0,0
20,617,400,2.790285164,0,0,0,0,0,0,0,1,0,0,0,0
21,583,441,2.765668555,0,0,0,0,0,0,0,0,1,0,0,0
22,587,484,2.768638101,0,0,0,0,0,0,0,0,0,1,0,0
23,565,529,2.752048448,0,0,0,0,0,0,0,0,0,0,1,0
24,598,576,2.776701184,0,0,0,0,0,0,0,0,0,0,0,1
25,628,625,2.797959644,1,0,0,0,0,0,0,0,0,0,0,0
26,618,676,2.790988475,0,1,0,0,0,0,0,0,0,0,0,0
27,688,729,2.837588438,0,0,1,0,0,0,0,0,0,0,0,0
28,705,784,2.848189117,0,0,0,1,0,0,0,0,0,0,0,0
29,770,841,2.886490725,0,0,0,0,1,0,0,0,0,0,0,0
30,736,900,2.866877814,0,0,0,0,0,1,0,0,0,0,0,0
31,678,961,2.831229694,0,0,0,0,0,0,1,0,0,0,0,0
32,639,1024,2.805500858,0,0,0,0,0,0,0,1,0,0,0,0
33,604,1089,2.781036939,0,0,0,0,0,0,0,0,1,0,0,0
34,611,1156,2.78604121,0,0,0,0,0,0,0,0,0,1,0,0
35,594,1225,2.773786445,0,0,0,0,0,0,0,0,0,0,1,0
36,634,1296,2.802089258,0,0,0,0,0,0,0,0,0,0,0,1
37,658,1369,2.818225894,1,0,0,0,0,0,0,0,0,0,0,0
38,622,1444,2.793790385,0,1,0,0,0,0,0,0,0,0,0,0
39,709,1521,2.850646235,0,0,1,0,0,0,0,0,0,0,0,0
40,722,1600,2.858537198,0,0,0,1,0,0,0,0,0,0,0,0
41,782,1681,2.893206753,0,0,0,0,1,0,0,0,0,0,0,0
42,756,1764,2.878521796,0,0,0,0,0,1,0,0,0,0,0,0
43,702,1849,2.846337112,0,0,0,0,0,0,1,0,0,0,0,0
44,653,1936,2.814913181,0,0,0,0,0,0,0,1,0,0,0,0
45,615,2025,2.788875116,0,0,0,0,0,0,0,0,1,0,0,0
