Month_series,milk_prod
1,589
2,561
3,640
4,656
5,727
6,697
7,640
8,599
9,568
10,577
11,553
12,582
13,600
14,566
15,653
16,673
17,742
18,716
19,660
20,617
21,583
22,587
23,565
24,598
25,628
26,618
27,688
28,705
29,770
30,736
31,678
32,639
33,604
34,611
35,594
36,634
37,658
38,622
39,709
40,722
41,782
42,756
43,702
44,653
45,615
46,621
47,602
48,635
49,677
50,635
51,736
52,755
53,811
54,798
55,735
56,697
57,661
58,667
59,645
60,688
61,713
62,667
63,762
64,784
65,837
66,817
67,767
68,722
69,681
70,687
71,660
72,698
73,717
74,696
75,775
76,796
77,858
78,826
79,783
80,740
81,701
82,706
83,677
84,711
85,734
86,690
87,785
88,805
89,871
90,845
91,801
92,764
93,725
94,723
95,690
96,734
97,750
98,707
99,807
100,824
101,886
102,859
103,819
104,783
105,740
106,747
107,711
108,751
109,804
110,756
111,860
112,878
113,942
114,913
115,869
116,834
117,790
118,800
119,763
120,800
121,826
122,799
123,890
124,900
125,961
126,935
127,894
128,855
129,809
130,810
131,766
132,805
133,821
134,773
135,883
136,898
137,957
138,924
139,881
140,837
141,784
142,791
143,760
144,802
145,828
146,778
147,889
148,902
149,969
150,947
151,908
152,867
153,815
154,812
155,773
156,813
157,834
158,782
159,892
160,903
161,966
162,937
163,896
164,858
165,817
166,827
167,797
168,843
