"","x"
"1","    sir please have a word with uae officials and make arrangement for our return to UAE even Ethihad a   "
"2","   World Airports opening dates            1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  2020 4  J "
"3","   World Airports opening dates           1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  2020 4  Jor "
"4","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"5","Air Arabia confirms additional job losses among revenues collapse  "
"6","  Sir  we stranded UAE expat in India requesting you        to allow Emirates Etihad  Air Arabia to India    "
"7","    UAEResidentsinIndia            the ball s in your court sir     Please a "
"8","   Please approve Etihad  Emirates  Air Arabia  amp  Fly Dubai to operate one way flights to India to take back stranded resi "
"9","  I meant to say  air arabia doesn t come to Pakistan  Do forward my tweet to upper management  I wan   "
"10","  Plz allow EK EY FZ N AIR ARABIA to oprt to Indian cities so tha "
"11","   Etihad Airways  Emirates  Fly Dubai and Air Arabia have been granted permission by government of  UAE to resume transit "
"12","    UAEResidentsinIndia            the ball s in your court sir     Please a "
"13","The UAE s Air Arabia and Emirates airline lay off staff  including in Emirates case trainee pilots    "
"14","    Hi Antonia    Thanks for reaching out to us    Air Arabia respects all passengers equal   "
"15","World Airports opening dates            1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  2   "
"16","    UAEResidentsinIndia            the ball s in your court sir     Please a "
"17"," UAEResidentsinIndia            the ball s in your court sir     Plea   "
"18","        Plz allow EK EY FZ N AIR ARABIA to oprt to Indian cities so   "
"19","My hard work in Saudi Arabia to stop my skill in air tires                                            "
"20","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"21","Trump presses Saudi Arabia and the UAE to end the air embargo on Qatar  "
"22","Prepare a report that is related to Environmental Scanning for Air Arabia Strategy    "
"23","          UAE has already announced on 3rd june of 2020  they   "
"24","     The UAE stook the decision to reopen borders for transiting passengers       Emirates and FlyDubai will restart   "
"25","   Dr  Al Dhaheri    UAEGov has decided to resume transit fights by national carrier airlines  Etihad  Emirates  Fly Dubai and Air "
"26","  Dear sir  i m  in saudi arabia and my parents are stuck here last 4 month  they are 60 above and n   "
"27","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"28","   Air Arabia has become the latest airline in the UAE to announce staff redundancies  "
"29","The story of Qatar is incredible  almost 3 years ago a couple of countries led by Saudi Arabia cut ties with Doha    "
"30","Etihad Airways  Emirates  Fly Dubai and Air Arabia have been granted permission by government of  UAE to resume tra   "
"31","Air Arabia announces more job cuts   "
"32","   Dr  Al Dhaheri    UAEGov has decided to resume transit fights by national carrier airlines  Etihad  Emirates  Fly Dubai and Air "
"33","   Please approve Etihad  Emirates  Air Arabia  amp  Fly Dubai to operate one way flights to India to take back stranded resi "
"34","Please approve Etihad  Emirates  Air Arabia  amp  Fly Dubai to operate one way flights to India to take back stranded r   "
"35","  Please allow Emirates  Etihad  Fly Dubai  Air Arabia to facilitate return of str "
"36","New post from Georgina Lavers  Air Arabia announces more job cuts  "
"37","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"38","  Not applicable for UAE Residents as per Air India  In several destinations  Only NATIONALS FROM THE DEST   "
"39","  Please allow Emirates  Etihad  Fly Dubai  Air Arabia to facilitate return of str "
"40","  hello air arabia  I want to know more about flights schedule to Pakistan Peshawar and lahore Islama   "
"41","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"42","  Please allow Emirates  Etihad  Fly Dubai  Air Arabia to facilitate return of str "
"43","  Please approve Etihad  Emirates  Air Arabia  amp  Fly Dubai to operate one way flights to India to take   "
"44","  Please allow Emirates  Etihad  Fly Dubai  Air Arabia to facilitate return of str "
"45","  Please allow Emirates  Etihad  Fly Dubai  Air Arabia to facilitate return of str "
"46","                    "
"47","  Please allow Emirates  Etihad  Fly Dubai  Air Arabia to facilitate return of str "
"48","  Please allow Emirates  Etihad  Fly Dubai  Air Arabia to facilitate return of str "
"49","Arabia will have greatness and filthy air "
"50","      Please allow Emirates  Etihad  Fly Dubai  Air Arabia to facilitate return of   "
"51","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"52","4 June  UAE NEWS  DUBAI LATEST NEWS TODAY Air Arabia  Good News Visa UAE        to   "
"53","          u can t come to Saudi Arabia we closed our borders to air and s   "
"54","105 n  ChineseVirusEconomicImpact      s profit fell by 45  in the first quarter  which the  airline   "
"55","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"56","        Thats your Navy Ship being near Libya and your LNA Gener   "
"57","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"58","   Air Arabia s profit fell by 45  in the first quarter  which the airline blamed on the coronavirus pandemic which has cru "
"59","This flight from Dubai even though a rescue flight should start to make things move forward so that there is direct   "
"60","Air Arabia s profit fell by 45  in the first quarter  which the airline blamed on the coronavirus pandemic which ha   "
"61","   since the civil war started in Yemen in 2015  water supply  amp  sanitation were affected as a result of air strikes which damaged "
"62","  Trump has been received with the highest honor by every country he visited  I remember  China not rolli   "
"63","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"64","They locked them in that house  they took their clothes  don t give them food or Air conditioning  they took one of   "
"65","  He hasn t done ANYTHING to help ANYONE   Except  of course  the billionaires  corporations  stock   "
"66","More than 1 500 air strikes on Yemen during the period of the armistice declared by Saudi Arabia  "
"67","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"68","  I been asking for a while Saudi Arabia could take people in  gt  "
"69","      I m a veteran that served in Saudi Arabia and Kuwait  My grandfather was the   "
"70","   Dr  Al Dhaheri    UAEGov has decided to resume transit fights by national carrier airlines  Etihad  Emirates  Fly Dubai and Air "
"71","  Al Qaeda s claimed responsibility Sunday for last year s deadly shooting at the Naval Air Station   "
"72","   Dr  Al Dhaheri    UAEGov has decided to resume transit fights by national carrier airlines  Etihad  Emirates  Fly Dubai and Air "
"73","   World Airports opening dates            1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10   "
"74","  On the east coast heated air created in sea is trapped by himalayas and othr mountains so it is tr   "
"75","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"76","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"77","   Dr  Al Dhaheri    UAEGov has decided to resume transit fights by national carrier airlines  Etihad  Emirates  Fly Dubai and Air "
"78","   Dr  Al Dhaheri    UAEGov has decided to resume transit fights by national carrier airlines  Etihad  Emirates  Fly Dubai and Air "
"79","              If pak authorities give permission to la   "
"80","   Dr  Al Dhaheri    UAEGov has decided to resume transit fights by national carrier airlines  Etihad  Emirates  Fly Dubai and Air "
"81","Dr  Al Dhaheri    UAEGov has decided to resume transit fights by national carrier airlines  Etihad  Emirates  Fly D   "
"82","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"83","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"84","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"85","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"86","World Airports opening dates            1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  2   "
"87","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"88","  Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back stran "
"89","      Greatest news ever  Thank you so much    EK  EY  FZ and Air Arabia please fly back s   "
"90","These flights would include only transit  repatriation of expats or return of residents or citizens  The airlines a   "
"91","Air Arabia dismisses a number of employees due to the effects of Corona   the economic   the local market  "
"92","Air Arabia  the only listed carrier in the  UAE  has made further job cuts due to the business impact of Covid 19    "
"93","    Good evening sir i want to say something my ticket is confermd 17th June  can I go India be   "
"94"," AirWorldToday  Air Arabia confirms additional job losses among revenues collapse  "
"95","Air Arabia lays off more staff due to COVID 19 impact   "
"96","   Air Arabia has become the latest airline in the UAE to announce staff redundancies  "
"97","The US set up air bases in Saudi Arabia  and rebuilt the oil production facilities  The bases allowed the US to pro   "
"98","   since the civil war started in Yemen in 2015  water supply  amp  sanitation were affected as a result of air strikes which damaged "
"99","  There s no flight available on 16th of June for Air Arabia from EVN to BAH "
"100","Air Arabia lays off more staff due to coronavirus impact  "
"101","UAE carrier Air Arabia lays off more staff due to COVID 19 impact  "
"102","Air Arabia has become the latest airline in the UAE to announce staff redundancies  "
"103","since the civil war started in Yemen in 2015  water supply  amp  sanitation were affected as a result of air strikes wh   "
"104","    Thank you   we look forward to seeing you soon onboard our Air Arabia flights  Stay Safe"
"105","World Airports opening dates           1  Lebanon      July 15  2020 2  Bahrain      June 10  2020 3  Qatar      June 10  20   "
"106","Air Arabia lays off more staff due to coronavirus impact       Airlines  "
"107","    AirArabia lays off more staff due to  coronavirus impact    "
"108","Saudi Arabia   Shooting   shot   fire   smoke   Down   2   Drone   Yemen   Houthis   shell   shelling   mortar   mi   "
"109","    AirArabia lays off more staff due to  coronavirus impact    "
"110","Air Arabia  the only listed carrier in the United Arab Emirates  has made further job cuts due to the business impa   "
"111","  Air Arabia is having problems  just laid off staff   And there are weather and virus situations too from India "
"112","   Air Arabia lays off more staff due to COVID 19 impact   "
"113","UAE low cost carrier   confirms layoffs due to Covid 19 impact   "
